Age (in months),3rd Percentile Weight (in kilograms),5th Percentile Weight (in kilograms),10th Percentile Weight (in kilograms),25th Percentile Weight (in kilograms),50th Percentile Weight (in kilograms),75th Percentile Weight (in kilograms),90th Percentile Weight (in kilograms),95th Percentile Weight (in kilograms),97th Percentile Weight (in kilograms)
45.5,12.40954,12.71297,13.21265,14.14902,15.37263,16.84793,18.46379,19.60118,20.4242
46.5,12.52972,12.83726,13.34405,14.29485,15.53962,17.04408,18.69671,19.86313,20.70884
47.5,12.65132,12.96298,13.47689,14.44217,15.70817,17.24195,18.93166,20.12746,20.99619
48.5,12.77432,13.09012,13.61116,14.59093,15.87824,17.44149,19.16858,20.39409,21.28616
49.5,12.89869,13.21864,13.74682,14.74112,16.04978,17.64265,19.40739,20.66293,21.57866
50.5,13.02441,13.3485,13.88384,14.89269,16.22277,17.84537,19.64805,20.93393,21.8736
51.5,13.15141,13.47966,14.02217,15.0456,16.39715,18.04961,19.89048,21.20699,22.1709
52.5,13.27965,13.61206,14.16176,15.19981,16.57289,18.25533,20.13464,21.48207,22.4705
53.5,13.40907,13.74566,14.30257,15.35527,16.74994,18.46249,20.38048,21.7591,22.77232
54.5,13.53962,13.8804,14.44453,15.51193,16.92827,18.67105,20.62795,22.03803,23.07631
55.5,13.67121,14.01621,14.5876,15.66975,17.10783,18.88097,20.87704,22.31884,23.38243
56.5,13.80381,14.15303,14.73172,15.82868,17.28859,19.09224,21.1277,22.60148,23.69063
57.5,13.93732,14.29081,14.87683,15.98868,17.47052,19.30483,21.37993,22.88594,24.0009
58.5,14.0717,14.42947,15.02287,16.14971,17.65361,19.51874,21.63373,23.17222,24.31322
59.5,14.20687,14.56897,15.16981,16.31173,17.83782,19.73395,21.88909,23.46031,24.62758
60.5,14.34277,14.70924,15.31758,16.47471,18.02314,19.95048,22.14604,23.75024,24.94401
61.5,14.47934,14.85022,15.46614,16.63861,18.20956,20.16834,22.4046,24.04202,25.26252
62.5,14.61652,14.99186,15.61545,16.80342,18.39709,20.38753,22.6648,24.3357,25.58315
63.5,14.75426,15.13412,15.76547,16.9691,18.58571,20.6081,22.92668,24.63133,25.90595
64.5,14.8925,15.27694,15.91616,17.13565,18.77545,20.83007,23.19031,24.92897,26.23096
65.5,15.03119,15.42029,16.06749,17.30305,18.96631,21.05349,23.45574,25.22868,26.55827
66.5,15.1703,15.56413,16.21943,17.4713,19.15831,21.2784,23.72305,25.53055,26.88796
67.5,15.30978,15.70843,16.37197,17.6404,19.35149,21.50486,23.99232,25.83467,27.2201
68.5,15.44961,15.85316,16.52509,17.81035,19.54588,21.73294,24.26364,26.14113,27.55481
69.5,15.58975,15.99831,16.67878,17.98118,19.74151,21.96271,24.5371,26.45005,27.8922
70.5,15.73018,16.14385,16.83304,18.15288,19.93843,22.19425,24.81282,26.76154,28.23237
71.5,15.87089,16.28977,16.98787,18.32549,20.1367,22.42763,25.09089,27.07573,28.57547
72.5,16.01186,16.43608,17.14327,18.49904,20.33636,22.66294,25.37145,27.39274,28.92162
73.5,16.1531,16.58277,17.29926,18.67356,20.53748,22.90029,25.65461,27.71272,29.27096
74.5,16.2946,16.72986,17.45586,18.84908,20.74013,23.13976,25.94051,28.0358,29.62364
75.5,16.43638,16.87736,17.61309,19.02566,20.94438,23.38146,26.22926,28.36213,29.97981
76.5,16.57843,17.02528,17.77097,19.20334,21.1503,23.6255,26.52102,28.69185,30.33962
77.5,16.7208,17.17365,17.92956,19.38217,21.35797,23.87199,26.81591,29.02513,30.70323
78.5,16.86349,17.3225,18.08887,19.56221,21.56748,24.12103,27.11407,29.36212,31.0708
79.5,17.00654,17.47187,18.24897,19.74353,21.77891,24.37274,27.41566,29.70296,31.44249
80.5,17.14998,17.6218,18.40989,19.9262,21.99235,24.62725,27.7208,30.04782,31.81846
81.5,17.29386,17.77232,18.5717,20.11027,22.20789,24.88466,28.02965,30.39685,32.19887
82.5,17.43821,17.9235,18.73445,20.29582,22.42562,25.14509,28.34233,30.75021,32.58389
83.5,17.5831,18.07539,18.89819,20.48293,22.64564,25.40866,28.659,31.10804,32.97366
84.5,17.72858,18.22805,19.063,20.67168,22.86804,25.67549,28.97979,31.47049,33.36833
85.5,17.8747,18.38153,19.22895,20.86215,23.09293,25.94569,29.30484,31.83771,33.76807
86.5,18.02152,18.53591,19.3961,21.05441,23.32039,26.21937,29.63426,32.20984,34.17302
87.5,18.16912,18.69124,19.56453,21.24855,23.55052,26.49666,29.9682,32.58701,34.5833
88.5,18.31757,18.84762,19.73432,21.44467,23.78342,26.77764,30.30677,32.96935,34.99906
89.5,18.46693,19.00511,19.90554,21.64283,24.01918,27.06244,30.65008,33.35698,35.42042
90.5,18.61729,19.16378,20.07828,21.84313,24.25789,27.35114,30.99825,33.75001,35.8475
91.5,18.76871,19.32373,20.25261,22.04564,24.49965,27.64385,31.35137,34.14856,36.2804
92.5,18.92129,19.48502,20.42863,22.25047,24.74454,27.94066,31.70954,34.55271,36.71922
93.5,19.07511,19.64775,20.6064,22.45768,24.99264,28.24165,32.07286,34.96256,37.16406
94.5,19.23024,19.81199,20.78601,22.66736,25.24403,28.54689,32.44138,35.37818,37.61498
95.5,19.38678,19.97783,20.96755,22.8796,25.4988,28.85648,32.8152,35.79964,38.07207
96.5,19.54481,20.14535,21.15111,23.09446,25.75702,29.17046,33.19435,36.22699,38.53537
97.5,19.70442,20.31464,21.33675,23.31203,26.01874,29.4889,33.5789,36.66029,39.00492
98.5,19.86568,20.48579,21.52456,23.53237,26.28404,29.81185,33.96887,37.09956,39.48077
99.5,20.0287,20.65887,21.71462,23.75556,26.55298,30.13934,34.36431,37.54482,39.96292
100.5,20.19355,20.83397,21.907,23.98166,26.82559,30.47142,34.76522,37.99609,40.45138
101.5,20.36032,21.01117,22.10179,24.21073,27.10193,30.80811,35.17161,38.45335,40.94614
102.5,20.5291,21.19055,22.29905,24.44283,27.38203,31.14942,35.58347,38.91658,41.44718
103.5,20.69997,21.37219,22.49884,24.67802,27.66593,31.49536,36.00078,39.38577,41.95447
104.5,20.873,21.55616,22.70125,24.91634,27.95365,31.84592,36.42352,39.86086,42.46794
105.5,21.04828,21.74253,22.90633,25.15783,28.24521,32.20108,36.85164,40.34179,42.98755
106.5,21.22589,21.93138,23.11413,25.40252,28.5406,32.56084,37.28507,40.82849,43.5132
107.5,21.40589,22.12277,23.32471,25.65046,28.83984,32.92513,37.72376,41.32088,44.0448
108.5,21.58837,22.31677,23.53813,25.90167,29.14291,33.29393,38.16762,41.81885,44.58226
109.5,21.77338,22.51343,23.75442,26.15616,29.4498,33.66717,38.61656,42.32229,45.12543
110.5,21.96099,22.71282,23.97364,26.41394,29.76048,34.04479,39.07046,42.83107,45.67419
111.5,22.15126,22.91497,24.19581,26.67503,30.07493,34.4267,39.52921,43.34505,46.22839
112.5,22.34426,23.11994,24.42096,26.93942,30.39308,34.81282,39.99268,43.86408,46.78786
113.5,22.54002,23.32778,24.64912,27.20709,30.7149,35.20305,40.46071,44.38798,47.35242
114.5,22.73861,23.53851,24.88031,27.47805,31.04032,35.59726,40.93316,44.91658,47.92187
115.5,22.94006,23.75217,25.11454,27.75225,31.36928,35.99535,41.40984,45.44968,48.49603
116.5,23.14441,23.96879,25.35181,28.02968,31.70168,36.39717,41.89057,45.98708,49.07465
117.5,23.3517,24.18838,25.59214,28.31029,32.03745,36.80259,42.37517,46.52854,49.65753
118.5,23.56195,24.41097,25.83551,28.59403,32.37649,37.21144,42.86342,47.07385,50.2444
119.5,23.77519,24.63656,26.08191,28.88087,32.71868,37.62356,43.35511,47.62276,50.83502
120.5,23.99143,24.86516,26.33132,29.17072,33.06392,38.03878,43.85001,48.17501,51.42913
121.5,24.21068,25.09677,26.58372,29.46353,33.41208,38.45691,44.34788,48.73033,52.02644
122.5,24.43296,25.33137,26.83907,29.75922,33.76303,38.87775,44.84847,49.28846,52.62666
123.5,24.65826,25.56895,27.09734,30.0577,34.11663,39.30111,45.35152,49.84911,53.22951
124.5,24.88657,25.80949,27.35848,30.35888,34.47272,39.72676,45.85676,50.41198,53.83467
125.5,25.11788,26.05297,27.62244,30.66267,34.83116,40.15449,46.36392,50.97677,54.44183
126.5,25.35217,26.29934,27.88915,30.96895,35.19176,40.58407,46.87271,51.54317,55.05067
127.5,25.58941,26.54856,28.15856,31.27762,35.55437,41.01526,47.38283,52.11086,55.66086
128.5,25.82958,26.8006,28.43059,31.58856,35.9188,41.44782,47.894,52.67951,56.27207
129.5,26.07263,27.05539,28.70516,31.90163,36.28486,41.88148,48.40589,53.2488,56.88395
130.5,26.31852,27.31287,28.98218,32.21671,36.65236,42.316,48.9182,53.81837,57.49615
131.5,26.56719,27.57298,29.26156,32.53364,37.02111,42.75111,49.43061,54.3879,58.10833
132.5,26.81859,27.83564,29.54321,32.8523,37.39089,43.18655,49.9428,54.95703,58.72013
133.5,27.07265,28.10077,29.827,33.17252,37.76149,43.62203,50.45443,55.52542,59.33118
134.5,27.3293,28.36829,30.11285,33.49415,38.1327,44.05728,50.96519,56.09271,59.94114
135.5,27.58846,28.63809,30.40062,33.81701,38.5043,44.49201,51.47473,56.65855,60.54964
136.5,27.85004,28.91009,30.69019,34.14096,38.87605,44.92595,51.98272,57.22257,61.15631
137.5,28.11395,29.18417,30.98143,34.4658,39.24775,45.3588,52.48882,57.78443,61.7608
138.5,28.38009,29.46022,31.27421,34.79137,39.61914,45.79028,52.9927,58.34376,62.36274
139.5,28.64837,29.73813,31.56838,35.11747,39.99,46.22009,53.49402,58.90022,62.96178
140.5,28.91866,30.01776,31.86381,35.44394,40.36009,46.64794,53.99244,59.45344,63.55756
141.5,29.19086,30.299,32.16034,35.77056,40.72918,47.07354,54.48762,60.00308,64.14972
142.5,29.46484,30.5817,32.45781,36.09716,41.09701,47.49661,54.97925,60.54878,64.73791
143.5,29.74046,30.86573,32.75608,36.42354,41.46336,47.91684,55.46697,61.0902,65.32179
144.5,30.0176,31.15094,33.05496,36.7495,41.82798,48.33396,55.95048,61.62701,65.90103
145.5,30.29612,31.43718,33.3543,37.07485,42.19063,48.74767,56.42944,62.15887,66.47528
146.5,30.57588,31.7243,33.65394,37.39937,42.55108,49.15771,56.90354,62.68544,67.04422
147.5,30.85671,32.01214,33.95368,37.72288,42.90909,49.56378,57.37247,63.20642,67.60754
148.5,31.13848,32.30053,34.25336,38.04517,43.26442,49.96562,57.83593,63.72148,68.16491
149.5,31.42101,32.58932,34.55281,38.36604,43.61683,50.36297,58.29361,64.23032,68.71605
150.5,31.70415,32.87832,34.85183,38.68529,43.96612,50.75555,58.74524,64.73264,69.26067
151.5,31.98774,33.16738,35.15025,39.00272,44.31204,51.14313,59.19053,65.22816,69.79847
152.5,32.27159,33.4563,35.44789,39.31812,44.65437,51.52544,59.62921,65.71661,70.32919
153.5,32.55554,33.74492,35.74455,39.63131,44.99291,51.90225,60.06103,66.19771,70.85258
154.5,32.8394,34.03306,36.04006,39.94209,45.32745,52.27334,60.48572,66.67121,71.36839
155.5,33.12301,34.32053,36.33424,40.25026,45.65777,52.63847,60.90306,67.13688,71.87638
156.5,33.40617,34.60715,36.62688,40.55564,45.98369,52.99745,61.31281,67.59448,72.37633
157.5,33.6887,34.89274,36.91782,40.85805,46.30501,53.35007,61.71477,68.04379,72.86804
158.5,33.97042,35.17711,37.20687,41.15729,46.62155,53.69614,62.10874,68.48463,73.35131
159.5,34.25114,35.46007,37.49385,41.45321,46.93314,54.03549,62.49452,68.91679,73.82597
160.5,34.53066,35.74145,37.77858,41.74562,47.23962,54.36794,62.87195,69.34011,74.29185
161.5,34.80881,36.02105,38.06087,42.03435,47.54083,54.69335,63.24088,69.75442,74.7488
162.5,35.08539,36.2987,38.34057,42.31926,47.83661,55.01159,63.60115,70.1596,75.19669
163.5,35.36022,36.57421,38.61748,42.60018,48.12685,55.32252,63.95264,70.5555,75.6354
164.5,35.63309,36.84739,38.89145,42.87697,48.41141,55.62603,64.29525,70.94203,76.06483
165.5,35.90384,37.11808,39.16232,43.14949,48.69018,55.92203,64.62889,71.31908,76.48488
166.5,36.17227,37.3861,39.42991,43.4176,48.96305,56.21044,64.95347,71.68659,76.89549
167.5,36.4382,37.65127,39.69408,43.68119,49.22993,56.49119,65.26895,72.04449,77.2966
168.5,36.70144,37.91342,39.95467,43.94012,49.49075,56.76423,65.57527,72.39275,77.68817
169.5,36.96182,38.17238,40.21154,44.1943,49.74544,57.02954,65.87243,72.73133,78.07017
170.5,37.21916,38.428,40.46454,44.44363,49.99394,57.28708,66.16042,73.06023,78.44259
171.5,37.4733,38.68012,40.71356,44.688,50.23621,57.53687,66.43925,73.37946,78.80544
172.5,37.72405,38.92858,40.95845,44.92735,50.47222,57.77893,66.70897,73.68906,79.15873
173.5,37.97127,39.17324,41.19909,45.1616,50.70196,58.01327,66.96961,73.98906,79.50251
174.5,38.21478,39.41396,41.43538,45.39069,50.92541,58.23994,67.22127,74.27953,79.83682
175.5,38.45445,39.6506,41.66721,45.61455,51.14259,58.45903,67.46402,74.56056,80.16173
176.5,38.69012,39.88303,41.89448,45.83316,51.35353,58.67061,67.69798,74.83223,80.4773
177.5,38.92165,40.11114,42.1171,46.04647,51.55825,58.87477,67.92327,75.09468,80.78364
178.5,39.14891,40.3348,42.33498,46.25446,51.75681,59.07164,68.14006,75.34802,81.08083
179.5,39.37177,40.55392,42.54806,46.45712,51.94926,59.26135,68.3485,75.59243,81.36901
180.5,39.59012,40.76839,42.75627,46.65445,52.13568,59.44404,68.54877,75.82805,81.6483
181.5,39.80385,40.97812,42.95955,46.84646,52.31616,59.61988,68.74109,76.05507,81.91883
182.5,40.01284,41.18304,43.15786,47.03316,52.4908,59.78905,68.92566,76.2737,82.18076
183.5,40.21702,41.38308,43.35116,47.21458,52.6597,59.95173,69.10273,76.48415,82.43425
184.5,40.4163,41.57816,43.53942,47.39077,52.82299,60.10814,69.27255,76.68664,82.67946
185.5,40.6106,41.76824,43.72263,47.56176,52.98079,60.2585,69.43538,76.88142,82.91657
186.5,40.79986,41.95328,43.90078,47.72763,53.13327,60.40303,69.59151,77.06875,83.14578
187.5,40.98403,42.13324,44.07388,47.88844,53.28056,60.54199,69.74124,77.2489,83.36727
188.5,41.16306,42.3081,44.24193,48.04426,53.42284,60.67562,69.88487,77.42214,83.58126
189.5,41.33692,42.47785,44.40496,48.1952,53.56028,60.8042,70.02272,77.58878,83.78795
190.5,41.50559,42.64249,44.563,48.34134,53.69307,60.928,70.15513,77.74911,83.98755
191.5,41.66907,42.80203,44.71609,48.48279,53.82138,61.04731,70.28244,77.90345,84.18029
192.5,41.82734,42.95649,44.8643,48.61968,53.94544,61.16241,70.40499,78.05211,84.36639
193.5,41.98043,43.1059,45.00768,48.75212,54.06543,61.2736,70.52314,78.19542,84.54608
194.5,42.12835,43.25031,45.14631,48.88026,54.18158,61.3812,70.63725,78.33372,84.7196
195.5,42.27115,43.38976,45.28027,49.00422,54.29411,61.48549,70.7477,78.46734,84.88718
196.5,42.40886,43.52432,45.40964,49.12417,54.40324,61.58681,70.85484,78.59661,85.04905
197.5,42.54155,43.65406,45.53455,49.24026,54.50921,61.68546,70.95905,78.72189,85.20546
198.5,42.66928,43.77907,45.65509,49.35265,54.61224,61.78176,71.06071,78.84351,85.35663
199.5,42.79212,43.89944,45.77138,49.46152,54.71257,61.87602,71.16017,78.96181,85.50282
200.5,42.91017,44.01527,45.88355,49.56702,54.81044,61.96856,71.2578,79.07713,85.64425
201.5,43.02352,44.12666,45.99174,49.66936,54.9061,62.05968,71.35395,79.18979,85.78117
202.5,43.13227,44.23375,46.09608,49.7687,54.99978,62.1497,71.44899,79.30012,85.91379
203.5,43.23654,44.33665,46.19672,49.86524,55.09172,62.23891,71.54326,79.40845,86.04235
204.5,43.33646,44.4355,46.29382,49.95916,55.18217,62.32761,71.63707,79.51506,86.16706
205.5,43.43215,44.53044,46.38753,50.05066,55.27135,62.41609,71.73076,79.62027,86.28815
206.5,43.52374,44.62161,46.47801,50.13993,55.35951,62.50462,71.82463,79.72434,86.40583
207.5,43.61137,44.70917,46.56543,50.22716,55.44686,62.59347,71.91896,79.82755,86.52029
208.5,43.69521,44.79326,46.64995,50.31253,55.53362,62.68289,72.01403,79.93015,86.63173
209.5,43.77538,44.87405,46.73174,50.39624,55.62001,62.77311,72.11008,80.03235,86.74034
210.5,43.85205,44.95168,46.81097,50.47847,55.70624,62.86437,72.20733,80.13439,86.84629
211.5,43.92537,45.02633,46.8878,50.5594,55.79248,62.95684,72.306,80.23643,86.94976
212.5,43.9955,45.09815,46.9624,50.63919,55.87892,63.05073,72.40626,80.33866,87.05088
213.5,44.06258,45.16729,47.03493,50.71802,55.96573,63.1462,72.50825,80.4412,87.14981
214.5,44.12679,45.23391,47.10554,50.79603,56.05305,63.24336,72.61209,80.54417,87.24667
215.5,44.18826,45.29817,47.17437,50.87336,56.141,63.34234,72.71787,80.64766,87.34157
216.5,44.24715,45.3602,47.24158,50.95014,56.2297,63.4432,72.82563,80.75172,87.43462
217.5,44.3036,45.42015,47.30728,51.02649,56.31922,63.546,72.9354,80.85638,87.5259
218.5,44.35775,45.47815,47.3716,51.10249,56.40963,63.65074,73.04714,80.96163,87.61548
219.5,44.40973,45.53431,47.43464,51.17823,56.50096,63.7574,73.1608,81.06744,87.70342
220.5,44.45965,45.58875,47.4965,51.25375,56.5932,63.86593,73.27626,81.17373,87.78975
221.5,44.50764,45.64157,47.55724,51.32908,56.68633,63.9762,73.39338,81.28039,87.87449
222.5,44.55377,45.69284,47.61693,51.40422,56.78026,64.08808,73.51197,81.3873,87.95764
223.5,44.59815,45.74262,47.67559,51.47916,56.8749,64.20136,73.63178,81.49427,88.03918
224.5,44.64082,45.79097,47.73323,51.55381,56.9701,64.3158,73.75253,81.60109,88.11907
225.5,44.68185,45.8379,47.78983,51.6281,57.06565,64.4311,73.87389,81.70752,88.19726
226.5,44.72126,45.88343,47.84535,51.70189,57.16132,64.54692,73.99546,81.81326,88.27366
227.5,44.75906,45.92751,47.89972,51.77499,57.2568,64.66283,74.1168,81.91801,88.34817
228.5,44.79521,45.97009,47.9528,51.8472,57.35176,64.77838,74.23744,82.02139,88.42066
229.5,44.82969,46.0111,48.00447,51.91825,57.44578,64.89303,74.35682,82.12303,88.491
230.5,44.8624,46.0504,48.05453,51.98781,57.5384,65.00619,74.47435,82.22248,88.55903
231.5,44.89324,46.08784,48.10274,52.05553,57.6291,65.1172,74.58939,82.31928,88.62455
232.5,44.92205,46.12322,48.14882,52.12097,57.71728,65.22534,74.70121,82.41292,88.68734
233.5,44.94866,46.1563,48.19244,52.18364,57.80227,65.32981,74.80907,82.50285,88.74718
234.5,44.97281,46.18678,48.23321,52.243,57.88334,65.42974,74.91215,82.58851,88.80382
235.5,44.99424,46.21432,48.27069,52.29842,57.95967,65.52419,75.00958,82.66927,88.85697
236.5,45.0126,46.23851,48.30438,52.34921,58.0304,65.61215,75.10041,82.74448,88.90635
237.5,45.02752,46.25891,48.3337,52.3946,58.09453,65.69252,75.18367,82.81345,88.95164
238.5,45.03852,46.27498,48.358,52.43376,58.15104,65.76413,75.25831,82.87546,88.99253
239.5,45.0451,46.28612,48.37657,52.46576,58.19877,65.82574,75.32321,82.92975,89.02867
240,45.04655,46.28963,48.38346,52.47876,58.21897,65.85238,75.35165,82.95375,89.04485
