Age (in months),3rd Percentile Stature (in centimeters),5th Percentile Stature (in centimeters),10th Percentile Stature (in centimeters),25th Percentile Stature (in centimeters),50th Percentile Stature (in centimeters),75th Percentile Stature (in centimeters),90th Percentile Stature (in centimeters),95th Percentile Stature (in centimeters),97th Percentile Stature (in centimeters)
103.5,120.4502,121.8004,123.897,127.4481,131.4641,135.5548,139.3006,141.5716,143.0582
104.5,120.851,122.2086,124.3168,127.8876,131.926,136.0397,139.8069,142.0908,143.586
105.5,121.2467,122.6119,124.7319,128.3228,132.384,136.5209,140.3093,142.6061,144.1096
106.5,121.6372,123.0103,125.1425,128.7539,132.8381,136.9982,140.8077,143.1173,144.6291
107.5,122.0228,123.4039,125.5485,129.1807,133.2882,137.4717,141.3023,143.6245,145.1445
108.5,122.4034,123.7928,125.9501,129.6035,133.7345,137.9414,141.793,144.1278,145.656
109.5,122.7793,124.1771,126.3473,130.0222,134.1769,138.4073,142.28,144.6272,146.1634
110.5,123.1506,124.5569,126.7402,130.4369,134.6155,138.8696,142.7632,145.1228,146.6671
111.5,123.5175,124.9325,127.1291,130.8477,135.0504,139.3282,143.2428,145.6148,147.167
112.5,123.8803,125.304,127.514,131.2548,135.4818,139.7833,143.7188,146.1032,147.6633
113.5,124.2391,125.6717,127.8953,131.6584,135.9097,140.235,144.1915,146.5882,148.1562
114.5,124.5943,126.0358,128.273,132.0585,136.3343,140.6835,144.661,147.0699,148.6459
115.5,124.9462,126.3966,128.6474,132.4555,136.7557,141.1289,145.1273,147.5486,149.1325
116.5,125.295,126.7544,129.0189,132.8495,137.1742,141.5713,145.5909,148.0245,149.6163
117.5,125.6413,127.1096,129.3876,133.2407,137.5899,142.0111,146.0518,148.4979,150.0977
118.5,125.9852,127.4624,129.754,133.6295,138.0032,142.4484,146.5103,148.9689,150.5767
119.5,126.3272,127.8132,130.1183,134.0161,138.4143,142.8835,146.9668,149.438,151.0539
120.5,126.6678,128.1625,130.4809,134.4008,138.8234,143.3168,147.4214,149.9053,151.5294
121.5,127.0073,128.5106,130.8422,134.7841,139.231,143.7484,147.8747,150.3714,152.0038
122.5,127.3462,128.8579,131.2026,135.1663,139.6373,144.1789,148.3268,150.8365,152.4773
123.5,127.6851,129.2051,131.5625,135.5477,140.0427,144.6085,148.7782,151.301,152.9504
124.5,128.0243,129.5524,131.9224,135.9288,140.4477,145.0377,149.2294,151.7655,153.4235
125.5,128.3643,129.9004,132.2828,136.3101,140.8527,145.4669,149.6808,152.2303,153.8972
126.5,128.7058,130.2496,132.6441,136.692,141.2582,145.8965,150.1329,152.696,154.3718
127.5,129.0491,130.6005,133.0068,137.075,141.6646,146.3272,150.5861,153.1631,154.848
128.5,129.3949,130.9536,133.3714,137.4597,142.0725,146.7593,151.041,153.6321,155.3263
129.5,129.7436,131.3094,133.7386,137.8466,142.4824,147.1936,151.4982,154.1035,155.8072
130.5,130.0958,131.6686,134.1089,138.2362,142.8949,147.6305,151.9583,154.578,156.2913
131.5,130.452,132.0316,134.4828,138.6292,143.3107,148.0707,152.4218,155.0562,156.7792
132.5,130.8127,132.399,134.8608,139.0262,143.7304,148.5147,152.8894,155.5386,157.2715
133.5,131.1785,132.7714,135.2437,139.4278,144.1545,148.9633,153.3617,156.0258,157.7688
134.5,131.5498,133.1491,135.6318,139.8346,144.5838,149.4172,153.8394,156.5186,158.2717
135.5,131.9272,133.5329,136.026,140.2472,145.019,149.8769,154.323,157.0174,158.7806
136.5,132.311,133.9232,136.4266,140.6664,145.4607,150.3433,154.8133,157.5229,159.2964
137.5,132.7018,134.3205,136.8343,141.0928,145.9097,150.8169,155.3109,158.0356,159.8193
138.5,133.1,134.7252,137.2496,141.5269,146.3665,151.2984,155.8164,158.5562,160.35
139.5,133.5059,135.1378,137.673,141.9694,146.832,151.7885,156.3303,159.0851,160.889
140.5,133.9199,135.5588,138.105,142.4209,147.3066,152.2878,156.8532,159.6228,161.4365
141.5,134.3423,135.9885,138.5461,142.882,147.7911,152.7969,157.3857,160.1697,161.993
142.5,134.7733,136.4271,138.9968,143.3532,148.2859,153.3164,157.928,160.7262,162.5588
143.5,135.2132,136.8751,139.4573,143.835,148.7917,153.8466,158.4807,161.2924,163.1339
144.5,135.6621,137.3326,139.928,144.3277,149.3088,154.3881,159.0439,161.8686,163.7185
145.5,136.1202,137.7998,140.4091,144.8317,149.8376,154.941,159.6179,162.4549,164.3126
146.5,136.5875,138.2769,140.9009,145.3473,150.3784,155.5056,160.2026,163.0511,164.916
147.5,137.064,138.7638,141.4034,145.8746,150.9313,156.0819,160.7981,163.6571,165.5285
148.5,137.5496,139.2605,141.9167,146.4137,151.4964,156.6699,161.4041,164.2726,166.1497
149.5,138.0442,139.767,142.4407,146.9645,152.0735,157.2694,162.0203,164.8972,166.7791
150.5,138.5477,140.2831,142.9752,147.5269,152.6624,157.88,162.6462,165.5302,167.416
151.5,139.0597,140.8085,143.52,148.1005,153.2627,158.5012,163.2811,166.1711,168.0596
152.5,139.5799,141.3429,144.0746,148.6849,153.8738,159.1324,163.9243,166.8187,168.7091
153.5,140.108,141.8859,144.6388,149.2795,154.4951,159.7725,164.5748,167.4723,169.3634
154.5,140.6435,142.4369,145.2117,149.8836,155.1255,160.4207,165.2314,168.1305,170.0213
155.5,141.1858,142.9955,145.7928,150.4962,155.7642,161.0758,165.893,168.7923,170.6817
156.5,141.7345,143.5608,146.3813,151.1165,156.4099,161.7364,166.5581,169.4561,171.343
157.5,142.2889,144.1322,146.9763,151.7433,157.0612,162.401,167.2253,170.1205,172.004
158.5,142.8482,144.7089,147.5767,152.3754,157.7168,163.0682,167.8929,170.784,172.663
159.5,143.4118,145.29,148.1815,153.0113,158.3751,163.7363,168.5594,171.445,173.3186
160.5,143.9788,145.8746,148.7896,153.6498,159.0344,164.4035,169.2231,172.1018,173.9691
161.5,144.5483,146.4615,149.3998,154.2892,159.6931,165.0681,169.8822,172.7528,174.6131
162.5,145.1196,147.0498,150.0107,154.928,160.3493,165.7283,170.535,173.3965,175.249
163.5,145.6915,147.6385,150.621,155.5647,161.0015,166.3823,171.1798,174.0312,175.8753
164.5,146.2633,148.2262,151.2295,156.1977,161.6478,167.0284,171.8151,174.6554,176.4906
165.5,146.8339,148.812,151.8348,156.8253,162.2865,167.665,172.4393,175.2677,177.0935
166.5,147.4023,149.3947,152.4355,157.4462,162.9161,168.2905,173.0509,175.8668,177.6829
167.5,147.9674,149.9731,153.0304,158.0587,163.535,168.9033,173.6486,176.4515,178.2575
168.5,148.5284,150.5461,153.6181,158.6615,164.1418,169.5022,174.2313,177.0206,178.8165
169.5,149.0842,151.1127,154.1975,159.2532,164.7352,170.0859,174.7978,177.5733,179.3589
170.5,149.6338,151.6717,154.7674,159.8327,165.314,170.6535,175.3473,178.1088,179.884
171.5,150.1763,152.2221,155.3268,160.3988,165.8771,171.2039,175.879,178.6264,180.3913
172.5,150.7107,152.763,155.8746,160.9506,166.4236,171.7364,176.3923,179.1256,180.8804
173.5,151.2363,153.2935,156.4099,161.4872,166.9528,172.2504,176.8868,179.6061,181.3509
174.5,151.7521,153.8127,156.9319,162.0078,167.4641,172.7455,177.3622,180.0676,181.8027
175.5,152.2575,154.32,157.4399,162.5118,167.9571,173.2213,177.8183,180.5102,182.2358
176.5,152.7517,154.8147,157.9334,162.9988,168.4313,173.6778,178.2551,180.9338,182.6503
177.5,153.2342,155.2961,158.4118,163.4685,168.8867,174.1148,178.6727,181.3385,183.0463
178.5,153.7043,155.7638,158.8747,163.9205,169.3231,174.5324,179.0712,181.7247,183.4242
179.5,154.1615,156.2174,159.3218,164.3547,169.7405,174.9309,179.451,182.0927,183.7842
180.5,154.6056,156.6566,159.7529,164.7713,170.1393,175.3105,179.8124,182.4429,184.127
181.5,155.036,157.0811,160.168,165.1701,170.5195,175.6716,180.1559,182.7757,184.4528
182.5,155.4526,157.4907,160.5669,165.5514,170.8815,176.0146,180.482,183.0918,184.7624
183.5,155.8552,157.8853,160.9498,165.9154,171.2257,176.34,180.7912,183.3916,185.0562
184.5,156.2436,158.265,161.3167,166.2625,171.5525,176.6483,181.0841,183.6757,185.3349
185.5,156.6178,158.6298,161.6679,166.5929,171.8626,176.9402,181.3614,183.9449,185.599
186.5,156.9777,158.9798,162.0035,166.9072,172.1563,177.2163,181.6236,184.1997,185.8493
187.5,157.3235,159.315,162.3239,167.2057,172.4343,177.4771,181.8715,184.4408,186.0863
188.5,157.6551,159.6359,162.6294,167.489,172.6972,177.7234,182.1056,184.6687,186.3107
189.5,157.9729,159.9425,162.9204,167.7576,172.9456,177.9558,182.3267,184.8843,186.5231
190.5,158.277,160.2352,163.1973,168.012,173.1801,178.175,182.5353,185.0879,186.724
191.5,158.5676,160.5143,163.4605,168.2528,173.4014,178.3815,182.7322,185.2804,186.9142
192.5,158.845,160.7802,163.7104,168.4805,173.6101,178.5762,182.9179,185.4623,187.0941
193.5,159.1095,161.0332,163.9476,168.6958,173.8067,178.7595,183.0931,185.6341,187.2643
194.5,159.3614,161.2738,164.1725,168.8991,173.992,178.9321,183.2583,185.7965,187.4254
195.5,159.6011,161.5023,164.3856,169.0911,174.1665,179.0946,183.414,185.9498,187.5779
196.5,159.829,161.7191,164.5873,169.2722,174.3308,179.2476,183.5609,186.0948,187.7222
197.5,160.0455,161.9247,164.7782,169.4431,174.4854,179.3915,183.6995,186.2318,187.8588
198.5,160.2508,162.1196,164.9587,169.6041,174.631,179.5271,183.8302,186.3613,187.9881
199.5,160.4456,162.3041,165.1292,169.756,174.768,179.6547,183.9535,186.4837,188.1106
200.5,160.63,162.4786,165.2903,169.8991,174.8969,179.7748,184.0699,186.5995,188.2267
201.5,160.8046,162.6437,165.4424,170.0339,175.0182,179.888,184.1797,186.7091,188.3368
202.5,160.9697,162.7997,165.586,170.1608,175.1323,179.9946,184.2835,186.8128,188.4411
203.5,161.1258,162.947,165.7214,170.2804,175.2398,180.095,184.3815,186.911,188.54
204.5,161.2733,163.086,165.8491,170.3931,175.341,180.1896,184.4741,187.004,188.6338
205.5,161.4125,163.2172,165.9694,170.4991,175.4362,180.2789,184.5617,187.0922,188.7229
206.5,161.5438,163.3409,166.0828,170.599,175.5259,180.3631,184.6446,187.1757,188.8075
207.5,161.6676,163.4575,166.1897,170.693,175.6104,180.4426,184.723,187.255,188.8878
208.5,161.7843,163.5673,166.2903,170.7816,175.6901,180.5176,184.7972,187.3302,188.9642
209.5,161.8942,163.6708,166.3851,170.865,175.7652,180.5885,184.8676,187.4016,189.0368
210.5,161.9977,163.7682,166.4743,170.9436,175.836,180.6555,184.9343,187.4694,189.1058
211.5,162.0951,163.8598,166.5583,171.0176,175.9028,180.7189,184.9975,187.5338,189.1715
212.5,162.1866,163.9461,166.6373,171.0873,175.9658,180.7789,185.0576,187.5951,189.234
213.5,162.2727,164.0272,166.7116,171.1529,176.0254,180.8357,185.1146,187.6534,189.2936
214.5,162.3537,164.1034,166.7816,171.2148,176.0816,180.8895,185.1687,187.7088,189.3503
215.5,162.4297,164.1751,166.8474,171.2732,176.1348,180.9405,185.2202,187.7617,189.4044
216.5,162.5011,164.2424,166.9094,171.3282,176.185,180.9889,185.2692,187.812,189.456
217.5,162.5681,164.3057,166.9676,171.3801,176.2326,181.0348,185.3159,187.86,189.5052
218.5,162.631,164.3651,167.0224,171.429,176.2776,181.0784,185.3603,187.9057,189.5522
219.5,162.69,164.4209,167.074,171.4752,176.3202,181.1199,185.4026,187.9494,189.5971
220.5,162.7453,164.4733,167.1224,171.5188,176.3606,181.1593,185.443,187.9911,189.6399
221.5,162.7972,164.5224,167.168,171.5599,176.3989,181.1968,185.4815,188.0309,189.6809
222.5,162.8458,164.5686,167.2109,171.5988,176.4352,181.2325,185.5182,188.069,189.7201
223.5,162.8914,164.6119,167.2513,171.6355,176.4697,181.2666,185.5534,188.1054,189.7575
224.5,162.9341,164.6526,167.2892,171.6701,176.5024,181.299,185.5869,188.1402,189.7934
225.5,162.9741,164.6907,167.325,171.7029,176.5335,181.33,185.619,188.1736,189.8277
226.5,163.0115,164.7265,167.3585,171.7339,176.563,181.3595,185.6497,188.2055,189.8606
227.5,163.0465,164.76,167.3902,171.7632,176.5911,181.3877,185.6791,188.236,189.8922
228.5,163.0793,164.7915,167.4199,171.791,176.6179,181.4147,185.7073,188.2653,189.9224
229.5,163.11,164.821,167.4479,171.8172,176.6433,181.4405,185.7343,188.2934,189.9513
230.5,163.1387,164.8487,167.4742,171.8421,176.6676,181.4651,185.7601,188.3204,189.9791
231.5,163.1656,164.8746,167.499,171.8657,176.6907,181.4887,185.7849,188.3462,190.0058
232.5,163.1907,164.8989,167.5224,171.888,176.7127,181.5113,185.8087,188.3711,190.0314
233.5,163.2142,164.9217,167.5444,171.9091,176.7337,181.533,185.8316,188.3949,190.056
234.5,163.2361,164.9431,167.5651,171.9292,176.7538,181.5538,185.8535,188.4178,190.0797
235.5,163.2566,164.9631,167.5846,171.9483,176.773,181.5737,185.8746,188.4399,190.1024
236.5,163.2757,164.9819,167.6029,171.9663,176.7913,181.5928,185.8949,188.461,190.1242
237.5,163.2936,164.9995,167.6203,171.9835,176.8088,181.6111,185.9144,188.4814,190.1452
238.5,163.3103,165.016,167.6366,171.9998,176.8255,181.6287,185.9331,188.501,190.1654
239.5,163.3259,165.0315,167.6519,172.0153,176.8415,181.6456,185.9512,188.5198,190.1849
240,163.3333,165.0389,167.6593,172.0227,176.8492,181.6538,185.9599,188.529,190.1943
